LT,close_factor,liq_bonus,slippage,base_bad_debt_rate,crisis_bad_debt_rate,mild_bad_debt_rate,severe_bad_debt_rate,score
0.85,0.8,0.05,0.0,0.06959969642119276,0.25971328130359816,0.010407763617017136,0.16771298435379695,0.23211319221865778
0.8,0.8,0.05,0.0,0.10724223282779047,0.26046715267759524,0.028070783501799833,0.18379061522560583,0.2374641914419984
0.85,0.8,0.05,0.02,0.06960061851490648,0.269822379348763,0.010407763617017136,0.16852229971605892,0.23943235545895178
0.75,0.8,0.05,0.0,0.14534642509641932,0.26069971136260245,0.059574173989758755,0.19464999623659296,0.24088479682479957
0.85,0.8,0.08,0.0,0.06960097710690624,0.27395824318134415,0.010407763617017136,0.16893516184695417,0.24245131878102713
0.8,0.8,0.05,0.02,0.10724315492150417,0.27057625072276004,0.028070783501799833,0.18459993058786778,0.24478335468229234
0.8,0.8,0.08,0.0,0.10724351351350396,0.2747121145553412,0.028070783501799833,0.18501279271876309,0.24780231800436778
0.75,0.8,0.05,0.02,0.145347347190133,0.2708088094077673,0.059574173989758755,0.195459311598855,0.2482039600650936
0.85,0.8,0.08,0.02,0.06960187358690569,0.284733779500934,0.010407763617017136,0.17023491309554206,0.2503841195793164
0.75,0.8,0.08,0.0,0.14534770578213277,0.2749446732403484,0.059574173989758755,0.19587217372975024,0.25122292338716895
0.85,0.8,0.05,0.05,0.06960200165547702,0.2863227920062166,0.010407763617017136,0.1704565882646243,0.2515629308837389
0.8,0.8,0.08,0.02,0.10724440999350338,0.285487650874931,0.028070783501799833,0.18631254396735097,0.255735118802657
0.8,0.8,0.05,0.05,0.10724453806207473,0.28707666338021365,0.028070783501799833,0.1865342191364332,0.25691393010707947
0.85,0.8,0.12,0.0,0.06960313533479955,0.2936233268851508,0.010407763617017136,0.171606774359496,0.25701836112745435
0.75,0.8,0.08,0.02,0.14534860226213223,0.28572020955993827,0.059574173989758755,0.19717192497833813,0.2591557241854582
0.75,0.8,0.05,0.05,0.14534873033070358,0.28730922206522086,0.059574173989758755,0.19739360014742038,0.2603345354898807
0.8,0.8,0.12,0.0,0.10724567174139725,0.2943771982591478,0.028070783501799833,0.18768440523130486,0.26236936035079494
0.85,0.8,0.08,0.05,0.06960939710842998,0.30203428265469856,0.010407763617017136,0.17320387270653076,0.2633851596702482
0.85,0.8,0.12,0.02,0.06961387374387308,0.3050464003762638,0.010407763617017136,0.17385101965091404,0.26568778615865885
0.75,0.8,0.12,0.0,0.1453498640100261,0.29460975694415503,0.059574173989758755,0.19854378624229205,0.26578996573359615
0.8,0.8,0.08,0.05,0.10725193351502767,0.30278815402869563,0.028070783501799833,0.18928150357833962,0.2687361588935888
0.8,0.8,0.12,0.02,0.1072564101504708,0.30580027175026087,0.028070783501799833,0.18992865052272292,0.2710387853819995
0.75,0.8,0.08,0.05,0.14535612578365653,0.30302071271370284,0.059574173989758755,0.2001408845893268,0.27215676427639
0.75,0.8,0.12,0.02,0.14536060241909962,0.3060328304352681,0.059574173989758755,0.20078803153371008,0.27445939076480064
0.85,0.8,0.12,0.05,0.06970150806248597,0.32314436549486975,0.010407763617017136,0.1786663219714955,0.27980095243785746
0.8,0.8,0.12,0.05,0.10734404446908369,0.32389823686886676,0.028070783501799833,0.1947439528433044,0.28515195166119806
0.75,0.8,0.12,0.05,0.1454482367377125,0.324130795553874,0.059574173989758755,0.20560333385429158,0.2885725570439992
0.85,0.5,0.05,0.0,0.17399658116726935,0.49711215866699937,0.026019409042542845,0.4164316864913041,0.47290801701429075
0.85,0.5,0.05,0.02,0.17399658116726935,0.49711267586699903,0.026019409042542845,0.4164316864913041,0.4729083790542905
0.85,0.5,0.08,0.0,0.17399658116726935,0.4971129057336655,0.026019409042542845,0.4164316864913041,0.47290853996095705
0.85,0.5,0.08,0.02,0.17399658116726935,0.4971134804003318,0.026019409042542845,0.4164316864913041,0.4729089422276235
0.85,0.5,0.05,0.05,0.17399658116726935,0.4971135624955699,0.026019409042542845,0.4164316864913041,0.4729089996942901
0.85,0.5,0.12,0.0,0.17399658116726935,0.49711393192414105,0.026019409042542845,0.4164316864913041,0.4729092582942899
0.85,0.5,0.08,0.05,0.17399658116726935,0.49711434240033125,0.026019409042542845,0.4164316864913041,0.47290954562762305
0.85,0.5,0.12,0.02,0.17399658116726935,0.49711452559970576,0.026019409042542845,0.4164316864913041,0.47290967386718524
0.85,0.5,0.12,0.05,0.17399658116726935,0.4971271757049202,0.026019409042542845,0.4164316864913041,0.47291852894083536
0.8,0.5,0.05,0.0,0.2681029221837636,0.498996837101992,0.07017695875449959,0.45662576367082625,0.4862855150726423
0.8,0.5,0.05,0.02,0.2681029221837636,0.4989973543019916,0.07017695875449959,0.45662576367082625,0.48628587711264193
0.8,0.5,0.08,0.0,0.2681029221837636,0.49899758416865814,0.07017695875449959,0.45662576367082625,0.4862860380193086
0.8,0.5,0.08,0.02,0.2681029221837636,0.49899815883532445,0.07017695875449959,0.45662576367082625,0.486286440285975
0.8,0.5,0.05,0.05,0.2681029221837636,0.49899824093056255,0.07017695875449959,0.45662576367082625,0.48628649775264166
0.8,0.5,0.12,0.0,0.2681029221837636,0.4989986103591338,0.07017695875449959,0.45662576367082625,0.4862867563526415
0.8,0.5,0.08,0.05,0.2681029221837636,0.4989990208353239,0.07017695875449959,0.45662576367082625,0.48628704368597453
0.8,0.5,0.12,0.02,0.2681029221837636,0.49899920403469833,0.07017695875449959,0.45662576367082625,0.4862871719255367
0.8,0.5,0.12,0.05,0.2681029221837636,0.49901185413991284,0.07017695875449959,0.45662576367082625,0.48629602699918684
0.75,0.5,0.05,0.0,0.36336340285533575,0.49957823381451005,0.1489354349743969,0.48377421619829425,0.4948370285296453
0.75,0.5,0.05,0.02,0.36336340285533575,0.49957875101450966,0.1489354349743969,0.48377421619829425,0.494837390569645
0.75,0.5,0.08,0.0,0.36336340285533575,0.4995789808811762,0.1489354349743969,0.48377421619829425,0.4948375514763116
0.75,0.5,0.08,0.02,0.36336340285533575,0.4995795555478425,0.1489354349743969,0.48377421619829425,0.494837953742978
0.75,0.5,0.05,0.05,0.36336340285533575,0.4995796376430806,0.1489354349743969,0.48377421619829425,0.49483801120964466
0.75,0.5,0.12,0.0,0.36336340285533575,0.4995800070716517,0.1489354349743969,0.48377421619829425,0.4948382698096444
0.75,0.5,0.08,0.05,0.36336340285533575,0.49958041754784194,0.1489354349743969,0.48377421619829425,0.4948385571429776
0.75,0.5,0.12,0.02,0.36336340285533575,0.4995806007472163,0.1489354349743969,0.48377421619829425,0.49483868538253967
0.75,0.5,0.12,0.05,0.36336340285533575,0.4995932508524309,0.1489354349743969,0.48377421619829425,0.4948475404561899
0.85,0.3,0.05,0.02,0.24359521363417708,0.6959570221337992,0.03642717265955998,0.5830043610878256,0.662071223820007
0.85,0.3,0.05,0.05,0.24359521363417708,0.6959570221337992,0.03642717265955998,0.5830043610878256,0.662071223820007
0.85,0.3,0.08,0.05,0.24359521363417708,0.6959570221337992,0.03642717265955998,0.5830043610878256,0.662071223820007
0.85,0.3,0.12,0.0,0.24359521363417708,0.6959570221337992,0.03642717265955998,0.5830043610878256,0.662071223820007
0.85,0.3,0.12,0.02,0.24359521363417708,0.6959570221337992,0.03642717265955998,0.5830043610878256,0.662071223820007
