scenario,shock,delay,total_shock,LT,close_factor,liq_bonus,slippage,liquidatable_rate,bad_debt_rate
severe,-0.3,2,-0.35,0.75,0.5,0.12,0.05,0.9547,0.48377421619829425
crisis,-0.4,3,-0.5,0.75,0.5,0.12,0.05,0.9988,0.4995932508524309
mild,-0.1,0,-0.1,0.75,0.8,0.05,0.0,0.2525,0.059574173989758755
base,-0.2,1,-0.22,0.75,0.8,0.05,0.0,0.6751,0.14534642509641932
severe,-0.3,2,-0.35,0.75,0.8,0.05,0.0,0.9547,0.19464999623659296
crisis,-0.4,3,-0.5,0.75,0.8,0.05,0.0,0.9988,0.26069971136260245
mild,-0.1,0,-0.1,0.75,0.8,0.05,0.02,0.2525,0.059574173989758755
base,-0.2,1,-0.22,0.75,0.8,0.05,0.02,0.6751,0.145347347190133
severe,-0.3,2,-0.35,0.75,0.8,0.05,0.02,0.9547,0.195459311598855
crisis,-0.4,3,-0.5,0.75,0.8,0.05,0.02,0.9988,0.2708088094077673
mild,-0.1,0,-0.1,0.75,0.8,0.05,0.05,0.2525,0.059574173989758755
base,-0.2,1,-0.22,0.75,0.8,0.05,0.05,0.6751,0.14534873033070358
severe,-0.3,2,-0.35,0.75,0.8,0.05,0.05,0.9547,0.19739360014742038
crisis,-0.4,3,-0.5,0.75,0.8,0.05,0.05,0.9988,0.28730922206522086
mild,-0.1,0,-0.1,0.75,0.8,0.08,0.0,0.2525,0.059574173989758755
base,-0.2,1,-0.22,0.75,0.8,0.08,0.0,0.6751,0.14534770578213277
severe,-0.3,2,-0.35,0.75,0.8,0.08,0.0,0.9547,0.19587217372975024
crisis,-0.4,3,-0.5,0.75,0.8,0.08,0.0,0.9988,0.2749446732403484
mild,-0.1,0,-0.1,0.75,0.8,0.08,0.02,0.2525,0.059574173989758755
base,-0.2,1,-0.22,0.75,0.8,0.08,0.02,0.6751,0.14534860226213223
severe,-0.3,2,-0.35,0.75,0.8,0.08,0.02,0.9547,0.19717192497833813
crisis,-0.4,3,-0.5,0.75,0.8,0.08,0.02,0.9988,0.28572020955993827
mild,-0.1,0,-0.1,0.75,0.8,0.08,0.05,0.2525,0.059574173989758755
base,-0.2,1,-0.22,0.75,0.8,0.08,0.05,0.6751,0.14535612578365653
severe,-0.3,2,-0.35,0.75,0.8,0.08,0.05,0.9547,0.2001408845893268
crisis,-0.4,3,-0.5,0.75,0.8,0.08,0.05,0.9988,0.30302071271370284
mild,-0.1,0,-0.1,0.75,0.8,0.12,0.0,0.2525,0.059574173989758755
base,-0.2,1,-0.22,0.75,0.8,0.12,0.0,0.6751,0.1453498640100261
severe,-0.3,2,-0.35,0.75,0.8,0.12,0.0,0.9547,0.19854378624229205
crisis,-0.4,3,-0.5,0.75,0.8,0.12,0.0,0.9988,0.29460975694415503
mild,-0.1,0,-0.1,0.75,0.8,0.12,0.02,0.2525,0.059574173989758755
base,-0.2,1,-0.22,0.75,0.8,0.12,0.02,0.6751,0.14536060241909962
severe,-0.3,2,-0.35,0.75,0.8,0.12,0.02,0.9547,0.20078803153371008
crisis,-0.4,3,-0.5,0.75,0.8,0.12,0.02,0.9988,0.3060328304352681
mild,-0.1,0,-0.1,0.75,0.8,0.12,0.05,0.2525,0.059574173989758755
base,-0.2,1,-0.22,0.75,0.8,0.12,0.05,0.6751,0.1454482367377125
severe,-0.3,2,-0.35,0.75,0.8,0.12,0.05,0.9547,0.20560333385429158
crisis,-0.4,3,-0.5,0.75,0.8,0.12,0.05,0.9988,0.324130795553874
mild,-0.1,0,-0.1,0.8,0.3,0.05,0.0,0.1141,0.09824774225629943
