scenario,shock,delay,total_shock,LT,close_factor,liq_bonus,slippage,liquidatable_rate,bad_debt_rate
mild,-0.1,0,-0.1,0.85,0.8,0.08,0.02,0.039,0.010407763617017136
base,-0.2,1,-0.22,0.85,0.8,0.08,0.02,0.2988,0.06960187358690569
severe,-0.3,2,-0.35,0.85,0.8,0.08,0.02,0.8067,0.17023491309554206
crisis,-0.4,3,-0.5,0.85,0.8,0.08,0.02,0.9933,0.284733779500934
mild,-0.1,0,-0.1,0.85,0.8,0.08,0.05,0.039,0.010407763617017136
base,-0.2,1,-0.22,0.85,0.8,0.08,0.05,0.2988,0.06960939710842998
severe,-0.3,2,-0.35,0.85,0.8,0.08,0.05,0.8067,0.17320387270653076
crisis,-0.4,3,-0.5,0.85,0.8,0.08,0.05,0.9933,0.30203428265469856
mild,-0.1,0,-0.1,0.85,0.8,0.12,0.0,0.039,0.010407763617017136
base,-0.2,1,-0.22,0.85,0.8,0.12,0.0,0.2988,0.06960313533479955
severe,-0.3,2,-0.35,0.85,0.8,0.12,0.0,0.8067,0.171606774359496
crisis,-0.4,3,-0.5,0.85,0.8,0.12,0.0,0.9933,0.2936233268851508
mild,-0.1,0,-0.1,0.85,0.8,0.12,0.02,0.039,0.010407763617017136
base,-0.2,1,-0.22,0.85,0.8,0.12,0.02,0.2988,0.06961387374387308
severe,-0.3,2,-0.35,0.85,0.8,0.12,0.02,0.8067,0.17385101965091404
crisis,-0.4,3,-0.5,0.85,0.8,0.12,0.02,0.9933,0.3050464003762638
mild,-0.1,0,-0.1,0.85,0.8,0.12,0.05,0.039,0.010407763617017136
base,-0.2,1,-0.22,0.85,0.8,0.12,0.05,0.2988,0.06970150806248597
severe,-0.3,2,-0.35,0.85,0.8,0.12,0.05,0.8067,0.1786663219714955
crisis,-0.4,3,-0.5,0.85,0.8,0.12,0.05,0.9933,0.32314436549486975
